frame,timestamp,motion
1816,30.297,0.006336
1820,30.364,0.006238
1824,30.43,0.0057
1828,30.497,0.004185
1832,30.564,0.00488
1836,30.631,0.005322
1840,30.697,0.005132
1844,30.764,0.006257
1848,30.831,0.005677
1852,30.898,0.003383
1856,30.964,0.006246
1860,31.031,0.006235
1864,31.098,0.003103
1868,31.164,0.004849
1872,31.231,0.004239
1876,31.298,0.00341
1880,31.365,0.004197
1884,31.431,0.003742
1888,31.498,0.002933
1892,31.565,0.004141
1896,31.632,0.00458
1900,31.698,0.005426
1904,31.765,0.007245
1908,31.832,0.007401
1912,31.899,0.006962
1916,31.965,0.007568
1920,32.032,0.007051
1924,32.099,0.006299
1928,32.165,0.004886
1932,32.232,0.006514
1936,32.299,0.00868
1940,32.366,0.009609
1944,32.432,0.00867
1948,32.499,0.008517
1952,32.566,0.008561
1956,32.633,0.006978
1960,32.699,0.006799
1964,32.766,0.005976
1968,32.833,0.004562
1972,32.9,0.005282
1976,32.966,0.005625
1980,33.033,0.005943
1984,33.1,0.007077
1988,33.166,0.007674
1992,33.233,0.008314
1996,33.3,0.008914
2000,33.367,0.008607
2004,33.433,0.008863
2008,33.5,0.008827
2012,33.567,0.008609
2016,33.634,0.008766
2020,33.7,0.008126
2024,33.767,0.00804
2028,33.834,0.008297
2032,33.901,0.0075
2036,33.967,0.007574
2040,34.034,0.007524
2044,34.101,0.005978
2048,34.167,0.006369
2052,34.234,0.006348
2056,34.301,0.004961
2060,34.368,0.005471
2064,34.434,0.005904
2068,34.501,0.005762
2072,34.568,0.007336
2076,34.635,0.008268
2080,34.701,0.008423
2084,34.768,0.010035
2088,34.835,0.010384
2092,34.902,0.009833
2096,34.968,0.010683
2100,35.035,0.0104
2104,35.102,0.009584
2108,35.168,0.009973
2112,35.235,0.010153
2116,35.302,0.011876
2120,35.369,0.014366
2124,35.435,0.014948
2128,35.502,0.015952
2132,35.569,0.016838
2136,35.636,0.016264
2140,35.702,0.018956
2144,35.769,0.02209
2148,35.836,0.02449
2152,35.903,0.024528
2156,35.969,0.022273
2160,36.036,0.022772
2164,36.103,0.024482
2168,36.169,0.022702
2172,36.236,0.018211
2176,36.303,0.016918
2180,36.37,0.016433
2184,36.436,0.017621
2188,36.503,0.018613
2192,36.57,0.018748
2196,36.637,0.019085
2200,36.703,0.018935
2204,36.77,0.021126
2208,36.837,0.023439
2212,36.904,0.01888
2216,36.97,0.018024
2220,37.037,0.016658
2224,37.104,0.016575
2228,37.17,0.014268
2232,37.237,0.014435
2236,37.304,0.016946
2240,37.371,0.01928
2244,37.437,0.019988
2248,37.504,0.020481
2252,37.571,0.021868
2256,37.638,0.021063
2260,37.704,0.019068
2264,37.771,0.021463
2268,37.838,0.020799
2272,37.905,0.016106
2276,37.971,0.014955
2280,38.038,0.008347
2284,38.105,0.003593
2288,38.171,0.005686
2292,38.238,0.00561
2296,38.305,0.005713
2300,38.372,0.0066
2304,38.438,0.006213
2308,38.505,0.007496
2312,38.572,0.008837
2316,38.639,0.010065
2320,38.705,0.014994
2324,38.772,0.01914
2328,38.839,0.020188
2332,38.906,0.019958
2336,38.972,0.01777
2340,39.039,0.014315
2344,39.106,0.012468
2348,39.172,0.01031
